lei,n_apps,n_black,n_white,penalty_pp,se,t_stat,p_value,significant
549300RBX56T2MW5HO19,42816,1819,40997,-2.1498,0.322,-6.6767,0.0,1
5493000NYUJT9UC6G261,52224,5154,47070,-12.0467,0.5082,-23.7043,0.0,1
2549003Z8R5QM0WPS603,884,25,859,0.151,0.6853,0.2204,0.825617,0
VMDPCBOQ43W3PZTYZL93,4669,49,4620,-16.5305,4.053,-4.0786,4.6e-05,1
549300CF8MP6S7MZV277,16689,1272,15417,-0.9543,0.2524,-3.7809,0.000157,1
2549004OC91L41W9XR37,5585,205,5380,-19.9358,3.5226,-5.6594,0.0,1
254900LEJ4HP6RMWD374,7782,399,7383,-6.2347,1.883,-3.3111,0.000933,1
549300OPCWU6E72WUT29,116216,10953,105263,-14.9836,0.4314,-34.7359,0.0,1
SS1TRMSN6BRNMOREEV51,321351,24143,297208,-13.9239,0.2735,-50.914,0.0,1
549300RP00N9TM7RLE66,394,19,375,-20.9049,5.7647,-3.6264,0.000326,1
549300YLA2LNEYNOLN85,2509,198,2311,-8.1569,2.9965,-2.7221,0.006532,1
549300JUZBXW5SUK5V79,728,53,675,-19.4744,5.5342,-3.5189,0.00046,1
254900YB9XQDO5W4KU33,1685,199,1486,-14.8761,3.6476,-4.0783,4.7e-05,1
549300XQVJ1XBNFA5536,435888,90134,345754,-10.6603,0.1633,-65.2997,0.0,1
254900SEH2UUXVW21S97,607,71,536,-5.137,2.2485,-2.2846,0.022683,1
549300VEIFZEX6HJVA94,301,12,289,-30.469,7.8728,-3.8702,0.000134,1
549300GXIH93QAIAWV16,102,18,84,-18.5105,12.0283,-1.5389,0.127115,0
549300B0SOOJLUT6U297,795,39,756,1.1902,1.6443,0.7238,0.469401,0
2549006G3AQ9DK986571,566,46,520,-24.4254,3.8443,-6.3537,0.0,1
549300DDJB48AVV1SO96,1883,160,1723,-9.3672,2.1518,-4.3531,1.4e-05,1
549300OBJRCHJ0G6XU24,695,27,668,-8.8556,2.6321,-3.3645,0.000809,1
54930067MGJBFNEN1P47,27003,274,26729,-6.3772,2.0049,-3.1808,0.00147,1
5493005PT09Z02WXW551,158,29,129,21.2372,7.7669,2.7343,0.006994,1
549300FW5QWKDV0UY394,1122,45,1077,0.932,4.9608,0.1879,0.851001,0
2549004CU9LAM5CYA280,2896,182,2714,-2.8503,1.6389,-1.7392,0.082106,0
549300516L2LO1P5XX92,595,19,576,-5.8043,4.3804,-1.3251,0.185665,0
549300SLOQGL2LEMSD33,882,10,872,8.3585,8.2412,1.0142,0.31075,0
549300E3VF26P7719Z56,4268,154,4114,-19.9757,3.1935,-6.2551,0.0,1
549300G5JZD1PBR8EH75,579,101,478,-16.0234,3.32,-4.8264,2e-06,1
5493006KXUHSYFT7SD10,4457,49,4408,1.9328,1.9553,0.9885,0.322963,0
5493004ZUHSMPBM5KL21,1176,28,1148,2.3106,2.2946,1.007,0.314152,0
54930076TYMG3Z3BO135,137,44,93,4.2829,7.2274,0.5926,0.554475,0
2549004IXUWDS2CYU578,458,22,436,1.1772,2.0407,0.5768,0.564342,0
5493007XQ02VMXYJYJ21,13348,295,13053,-11.6616,1.7093,-6.8224,0.0,1
549300T2FOBK6WY4B349,4025,45,3980,-22.1153,6.052,-3.6542,0.000261,1
549300MUMD1WPCSXT518,4355,34,4321,-18.3424,4.792,-3.8277,0.000131,1
549300DD6DH8XAGW3A86,1803,88,1715,-15.8449,3.6906,-4.2934,1.9e-05,1
549300FGUI1NQCS1M144,5608,227,5381,-3.621,1.3182,-2.7469,0.006035,1
549300XDZHJDR5G01Q52,1297,137,1160,-21.5212,3.0842,-6.9779,0.0,1
549300EDXX36BJ0X7583,4678,468,4210,-2.3631,0.8043,-2.9382,0.003317,1
254900HUD7SD8U5L3C11,322,19,303,-13.1417,9.1561,-1.4353,0.152192,0
254900PCEQAPPZS8KL59,879,19,860,-3.908,2.725,-1.4341,0.151896,0
549300BB8TE7SXIUJI50,2406,53,2353,-9.3942,3.8616,-2.4327,0.015059,1
549300XQ7B5FIVUNFE29,29396,2409,26987,-5.6781,0.5132,-11.0643,0.0,1
54930072OCHTUJOZQB56,33154,1088,32066,-7.2958,0.833,-8.759,0.0,1
549300S4QGNTM8G5J005,4184,175,4009,-8.7458,2.0015,-4.3696,1.3e-05,1
549300PYZVSM1PP3GI62,779,127,652,-1.426,2.0382,-0.6996,0.484382,0
549300NJVKCDJA5YC939,26419,2181,24238,-6.7579,0.5012,-13.4823,0.0,1
549300LCT0EFT83E5873,1575,40,1535,-9.824,3.3233,-2.9561,0.003162,1
5493002YXAOJOQPEGS38,1159,277,882,-7.8628,2.985,-2.6341,0.00855,1
5493007XQ4LU452LQJ67,8788,342,8446,-21.8637,1.8549,-11.7873,0.0,1
254900O723MCLR701H50,29406,2220,27186,-11.8815,0.8459,-14.0454,0.0,1
549300WW4OBT30G5DK23,3593,93,3500,-15.8199,3.0619,-5.1667,0.0,1
54930064IXFLV6MQAL59,332,22,310,-2.7456,2.9721,-0.9238,0.356291,0
549300L1DBFIJZI8LA40,15913,2782,13131,-6.3341,0.4829,-13.1156,0.0,1
254900T8NVZTD1Q8U318,316,86,230,-3.0917,5.5275,-0.5593,0.576337,0
549300Q4JBLTKDC7J303,228,58,170,-18.3062,6.5056,-2.8139,0.005334,1
549300VN9E1DEKF26E34,36169,4192,31977,-20.2961,0.7779,-26.0899,0.0,1
549300FX2QBKG7ZTBX37,1413,24,1389,-7.9576,9.5159,-0.8362,0.403162,0
QFROUN1UWUYU0DVIWD51,232405,13567,218838,-10.1684,0.2761,-36.8232,0.0,1
254900X6OAHFW6BUT219,10436,41,10395,-19.8199,6.2412,-3.1757,0.001499,1
549300DT7WZ1SOTNFJ62,15536,1007,14529,-12.7167,1.117,-11.3848,0.0,1
549300N15SIAR55G5978,122,45,77,-9.0042,4.5033,-1.9995,0.047896,1
5493008PQSMR41Y70C36,2947,212,2735,-6.9727,2.8584,-2.4393,0.014773,1
5493007MURRUYDI58M87,218,19,199,-30.852,10.0914,-3.0573,0.002521,1
5493006T76QKSBS2MS95,1374,45,1329,-12.6082,4.4861,-2.8105,0.005016,1
549300PIL90PE1ZLKI49,4439,620,3819,-2.0898,0.6967,-2.9996,0.002718,1
549300N3JBQ15RQ7AV97,17214,1295,15919,-6.4924,0.5114,-12.6954,0.0,1
549300X2FI65C4A30O27,2724,59,2665,-1.1301,3.2563,-0.347,0.728583,0
549300BIIOTBIZJPS834,603,13,590,-10.5687,8.4397,-1.2523,0.210968,0
549300MTZQME2DHKE115,656,187,469,-13.3091,3.2704,-4.0696,5.3e-05,1
549300Z0ZUTDURG4KA31,681,27,654,-5.071,4.3279,-1.1717,0.24173,0
549300CG5TM73650DH84,1378,96,1282,-0.6911,3.3814,-0.2044,0.838088,0
549300OPWL6MYY9SXF04,480,12,468,3.1706,4.5675,0.6942,0.487927,0
549300L3C3LKXG2XBS96,3377,79,3298,-9.8617,3.6022,-2.7377,0.006219,1
549300MUCZWG8XJCW607,1220,27,1193,-34.1832,7.9063,-4.3235,1.7e-05,1
549300YD9NNO7W7TSI64,2429,43,2386,-16.9479,5.2624,-3.2206,0.001296,1
5493002PPPIVY6G0AH03,255,14,241,-19.6523,9.911,-1.9829,0.048481,1
549300LG73ZJO2VYV440,690,38,652,-8.8373,6.447,-1.3708,0.170895,0
549300LXKO1O7CSK5J52,66792,3452,63340,-2.0525,0.2306,-8.9023,0.0,1
254900CCA1QSI5J1ZY32,240,16,224,6.9742,7.8716,0.886,0.376533,0
54930055Z5ZI5MLNR750,531,59,472,-17.4023,5.6104,-3.1018,0.002027,1
549300WOW2HLRVN4O324,5704,47,5657,-7.6092,4.7349,-1.607,0.108099,0
549300GJI4B01Z3NJL65,2233,84,2149,-10.733,3.2785,-3.2737,0.001078,1
549300GUS13Z72B6KD63,33540,1666,31874,-4.1162,0.4716,-8.7275,0.0,1
549300032FNX4IOT2T93,3173,14,3159,-17.2142,5.1828,-3.3214,0.000906,1
5493009YUAJW70SG7L54,2758,240,2518,-18.2953,2.8684,-6.3782,0.0,1
549300I8D8TQDQWQAO82,416,10,406,13.6754,13.6835,0.9994,0.318186,0
549300ZCR1XCLNEEI724,1668,193,1475,-7.8831,2.5994,-3.0326,0.002462,1
549300VIRTE6O2776X89,1786,54,1732,-9.6885,3.5394,-2.7373,0.006256,1
549300HQL7U3JZ4LCJ17,766,72,694,-8.3176,2.2006,-3.7797,0.000169,1
5493002RM1FZTGQ55U28,3266,234,3032,-23.7443,2.504,-9.4827,0.0,1
549300I7SKMG274G2Y20,406,68,338,-21.3866,5.494,-3.8927,0.000116,1
549300T7RPUYDIE5FH39,576,37,539,-24.7828,4.4302,-5.5941,0.0,1
5493003T62KDXQ6J4W58,611,78,533,0.4427,0.6985,0.6339,0.52641,0
549300HGDJQ37M5BE268,6021,328,5693,-4.2497,1.4284,-2.9753,0.002939,1
549300F263I3XPN55P35,1159,23,1136,0.0649,7.349,0.0088,0.992958,0
5493000OIGWIS24A1547,15683,570,15113,-5.1044,0.8699,-5.8678,0.0,1
549300029HOKG1DFPD77,144,52,92,-24.1505,6.8499,-3.5256,0.000574,1
254900CDUILFTCPB7H89,2765,105,2660,-1.2384,0.7553,-1.6395,0.101227,0
5493004NH61PL6YYNH25,5189,308,4881,-11.3577,2.3688,-4.7948,2e-06,1
254900UD8AEXTVCVAF72,702,178,524,-32.8517,3.6792,-8.9291,0.0,1
549300Z6RK4QCIMZJD44,866,34,832,-14.2352,3.3224,-4.2846,2e-05,1
549300D214S3L7KZ0515,15890,896,14994,-8.4209,1.246,-6.7586,0.0,1
549300KEN9618A3NSC95,179,34,145,-9.3451,3.9421,-2.3706,0.01886,1
549300BOXNV8VLRBDT24,19748,945,18803,-14.5205,1.3881,-10.4609,0.0,1
549300VGMMXKSX821O69,1993,391,1602,-6.3783,1.7864,-3.5704,0.000365,1
549300XHPPLC0TBRV021,2277,126,2151,-1.8372,1.1624,-1.5806,0.114113,0
549300VQUTI5IU7GXT57,54019,4503,49516,-8.3166,0.3856,-21.5657,0.0,1
1VUZZZCW0TWP6R7N3Z33,2709,38,2671,-24.8428,5.1847,-4.7916,2e-06,1
549300V315P16H3FSD37,556,82,474,-4.7526,5.6973,-0.8342,0.404539,0
549300BCHY7VFHESOE22,15256,1423,13833,-0.9334,0.2871,-3.2506,0.001154,1
549300DV2WBWN5ZEMV06,769,19,750,-1.6359,6.6639,-0.2455,0.80615,0
