Purpose,Year,Penalty_pp,SE,T_stat,P_value,Sig,N_obs,N_lenders
Purchase,2020,-7.158,0.859,-8.337,0.0,***,200000,2398
Purchase,2021,-5.846,0.433,-13.513,0.0,***,200000,2581
Purchase,2022,-7.378,0.424,-17.391,0.0,***,200000,2621
Purchase,2023,-7.494,0.467,-16.04,0.0,***,200000,2524
Purchase,2024,-6.755,0.429,-15.734,0.0,***,200000,2287
Refinance,2020,-9.499,0.731,-12.988,0.0,***,200000,2549
Refinance,2021,-8.764,0.862,-10.167,0.0,***,200000,2725
Refinance,2022,-9.018,0.92,-9.801,0.0,***,200000,2783
Refinance,2023,-8.405,0.972,-8.643,0.0,***,200000,2693
Refinance,2024,-10.09,0.726,-13.903,0.0,***,200000,2458
All,2020,-8.884,0.744,-11.947,0.0,***,200000,2651
All,2021,-7.938,0.697,-11.391,0.0,***,200000,2789
All,2022,-9.674,0.662,-14.608,0.0,***,200000,2875
All,2023,-10.31,0.659,-15.651,0.0,***,200000,2794
All,2024,-10.783,0.658,-16.38,0.0,***,200000,2567
