Year,Delta_hat_pp,SE_pp,M,Delta_hat,SE,Max_Bias,ID_Set_Lower,ID_Set_Upper,CI_Lower,CI_Upper,Zero_Excluded,Significant,M_star_breakdown,Delta_pre_pp
2022,-1.6354,0.2111,0.0,-1.6354,0.2111,0.0,-1.6354,-1.6354,-2.0491,-1.2217,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,0.25,-1.6354,0.2111,0.1478,-1.7832,-1.4876,-2.1969,-1.0739,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,0.5,-1.6354,0.2111,0.2956,-1.931,-1.3398,-2.3447,-0.9261,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,0.75,-1.6354,0.2111,0.4433,-2.0787,-1.1921,-2.4925,-0.7783,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,1.0,-1.6354,0.2111,0.5911,-2.2265,-1.0443,-2.6402,-0.6306,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,1.5,-1.6354,0.2111,0.8866,-2.522,-0.7488,-2.9358,-0.335,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,2.0,-1.6354,0.2111,1.1822,-2.8176,-0.4532,-3.2313,-0.0395,True,✅ Yes,2.0667,-0.5911
2022,-1.6354,0.2111,3.0,-1.6354,0.2111,1.7733,-3.4087,0.1379,-3.8224,0.5516,False,❌ No,2.0667,-0.5911
2022,-1.6354,0.2111,5.0,-1.6354,0.2111,2.9555,-4.5909,1.3201,-5.0046,1.7338,False,❌ No,2.0667,-0.5911
2023,-1.9686,0.2591,0.0,-1.9686,0.2591,0.0,-1.9686,-1.9686,-2.4764,-1.4608,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,0.25,-1.9686,0.2591,0.1478,-2.1164,-1.8208,-2.6242,-1.313,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,0.5,-1.9686,0.2591,0.2956,-2.2642,-1.673,-2.772,-1.1652,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,0.75,-1.9686,0.2591,0.4433,-2.4119,-1.5253,-2.9198,-1.0174,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,1.0,-1.9686,0.2591,0.5911,-2.5597,-1.3775,-3.0675,-0.8697,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,1.5,-1.9686,0.2591,0.8866,-2.8552,-1.082,-3.3631,-0.5741,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,2.0,-1.9686,0.2591,1.1822,-3.1508,-0.7864,-3.6586,-0.2786,True,✅ Yes,2.4713,-0.5911
2023,-1.9686,0.2591,3.0,-1.9686,0.2591,1.7733,-3.7419,-0.1953,-4.2497,0.3125,False,❌ No,2.4713,-0.5911
2023,-1.9686,0.2591,5.0,-1.9686,0.2591,2.9555,-4.9241,0.9869,-5.4319,1.4947,False,❌ No,2.4713,-0.5911
2024,-1.7274,0.2946,0.0,-1.7274,0.2946,0.0,-1.7274,-1.7274,-2.3048,-1.15,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,0.25,-1.7274,0.2946,0.1478,-1.8752,-1.5796,-2.4526,-1.0022,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,0.5,-1.7274,0.2946,0.2956,-2.0229,-1.4318,-2.6004,-0.8544,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,0.75,-1.7274,0.2946,0.4433,-2.1707,-1.2841,-2.7481,-0.7067,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,1.0,-1.7274,0.2946,0.5911,-2.3185,-1.1363,-2.8959,-0.5589,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,1.5,-1.7274,0.2946,0.8866,-2.614,-0.8408,-3.1915,-0.2633,True,✅ Yes,1.9455,-0.5911
2024,-1.7274,0.2946,2.0,-1.7274,0.2946,1.1822,-2.9096,-0.5452,-3.487,0.0322,False,❌ No,1.9455,-0.5911
2024,-1.7274,0.2946,3.0,-1.7274,0.2946,1.7733,-3.5007,0.0459,-4.0781,0.6233,False,❌ No,1.9455,-0.5911
2024,-1.7274,0.2946,5.0,-1.7274,0.2946,2.9555,-4.6829,1.2281,-5.2603,1.8055,False,❌ No,1.9455,-0.5911
